Широта;Долгота;Склонение
S11;E006;-12,3
S10;E006;-11,7
S09;E006;-11,1
S08;E006;-10,6
S07;E006;-10
S06;E006;-9,5
S05;E006;-9
S04;E006;-8,5
S03;E006;-8,1
S02;E006;-7,6
S01;E006;-7,2
N00;E006;-6,8
N01;E006;-6,4
N02;E006;-6,1
N03;E006;-5,7
N04;E006;-5,4
N05;E006;-5,1
N06;E006;-4,8
N07;E006;-4,5
N08;E006;-4,3
N09;E006;-4
N10;E006;-3,8
N11;E006;-3,6
N12;E006;-3,4
N13;E006;-3,2
N14;E006;-3,1
N15;E006;-2,9
N16;E006;-2,8
N17;E006;-2,6
N18;E006;-2,5
N19;E006;-2,4
N20;E006;-2,3
N21;E006;-2,1
N22;E006;-2,1
N23;E006;-2
N24;E006;-1,9
N25;E006;-1,8
N26;E006;-1,7
N27;E006;-1,7
N28;E006;-1,6
N29;E006;-1,6
N30;E006;-1,5
N31;E006;-1,5
N32;E006;-1,5
N33;E006;-1,4
N34;E006;-1,4
N35;E006;-1,4
N36;E006;-1,4
N37;E006;-1,4
N38;E006;-1,4
N39;E006;-1,4
N40;E006;-1,4
N41;E006;-1,5
N42;E006;-1,5
N43;E006;-1,6
N44;E006;-1,6
N45;E006;-1,7
N46;E006;-1,8
N47;E006;-1,8
N48;E006;-1,9
N49;E006;-2
N50;E006;-2,1
N51;E006;-2,2
N52;E006;-2,4
N53;E006;-2,5
N54;E006;-2,6
N55;E006;-2,8
N56;E006;-2,9
N57;E006;-3,1
N58;E006;-3,3
N59;E006;-3,4
N60;E006;-3,6
N61;E006;-3,7
N62;E006;-3,9
N63;E006;-4,1
N64;E006;-4,3
N65;E006;-4,4
N66;E006;-4,6
N67;E006;-4,7
N68;E006;-4,9
N69;E006;-5,1
N70;E006;-5,2
N71;E006;-5,4
N72;E006;-5,5
N73;E006;-5,7
N74;E006;-5,9
N75;E006;-6,1
N76;E006;-6,3
N77;E006;-6,5
N78;E006;-6,8
N79;E006;-7,1
N80;E006;-7,5
N81;E006;-7,9
N82;E006;-8,4
N83;E006;-9,1
N84;E006;-9,9
N85;E006;-11
N86;E006;-12,4
N87;E006;-14,3
N88;E006;-17
N89;E006;-20,7
N90;E006;-26,5
S90;E007;-34,5
S89;E007;-33,3
S88;E007;-32,2
S87;E007;-31,2
S86;E007;-30,3
S85;E007;-29,5
S84;E007;-28,7
S83;E007;-28
S82;E007;-27,4
S81;E007;-26,9
S80;E007;-26,4
S79;E007;-25,9
S78;E007;-25,5
S77;E007;-25,1
S76;E007;-24,8
S75;E007;-24,5
S74;E007;-24,3
S73;E007;-24
S72;E007;-23,8
S71;E007;-23,6
S70;E007;-23,5
S69;E007;-23,4
S68;E007;-23,3
